tweetid,link,author,title,description,pubdate,source,favorite_count,retweet_count,tweet_type,user_id,user_friends_count,user_followers_count,user_location
1.46517E+18,https://twitter.com/monetpansy/statuses/1465165103968382986,monetpansy,RT @SecretsOfDune: Dune (2021) | From concept to screen. #DuneMovie https://t.co/hg0hsWJWxL,Dune (2021) | From concept to screen. #DuneMovie https://t.co/hg0hsWJWxL,11/28/2021 22:45,Twitter for iPhone,0,40,retweet,292811460,766,214,
1.46517E+18,https://twitter.com/ToppoDestroyer/statuses/1465165026688483328,ToppoDestroyer,RT @KatieChrz: Dune (2021) https://t.co/fJ0qWhIQJx,Dune (2021) https://t.co/fJ0qWhIQJx,11/28/2021 22:45,Twitter for Android,0,41,retweet,1.39198E+18,703,1014,Center of Universe 11
1.46517E+18,https://twitter.com/FoxCouncil/statuses/1465165022250745862,FoxCouncil,RT @BigMaxwolf: Dune (2021 film) https://t.co/2XimcODmzD,Dune (2021 film) https://t.co/2XimcODmzD,11/28/2021 22:45,Twitter Web App,0,1,retweet,6780702,8276,7548,"Vancouver, BC"
1.46516E+18,https://twitter.com/BigMaxwolf/statuses/1465164735276453889,BigMaxwolf,Dune (2021 film) https://t.co/2XimcODmzD,Dune (2021 film) https://t.co/2XimcODmzD,11/28/2021 22:44,Twitter Web App,20,1,original,9.47062E+17,1870,6125,"Vancouver, British Columbia"
1.46516E+18,https://twitter.com/ShakaZulu616/statuses/1465162954798780419,ShakaZulu616,RT @RealScreenGeek: Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,Report: Lucasfilm May Recast Gina Carano\'s Cara Dune Star Wars Role: https://t.co/E3NpODlfL2 https://t.co/GKY70gQwVY,11/28/2021 22:37,Twitter for Android,0,83,retweet,1.40974E+18,2014,179,
1.46516E+18,https://twitter.com/DGoweyAuthor/statuses/1465162310704455687,DGoweyAuthor,RT @rachelwilbury: @DGoweyAuthor Dune (2021) https://t.co/UeWJouxJS4,@DGoweyAuthor Dune (2021) https://t.co/UeWJouxJS4,11/28/2021 22:34,Twitter for Android,0,1,retweet,1408432908,2016,1225,
1.46516E+18,https://twitter.com/ff39480Reviews/statuses/1465162107457048576,ff39480Reviews,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 22:34,Twitter for Android,0,61,retweet,8.18602E+17,5001,1651,"Clarksville, Tennessee"
1.46516E+18,https://twitter.com/tobecont_afp/statuses/1465162090419740675,tobecont_afp,Dune: From Lynch to  Villeneuve (Spoiler Discussion)  https://t.co/PHO5v6cfHA,Dune: From Lynch to  Villeneuve (Spoiler Discussion)  https://t.co/PHO5v6cfHA,11/28/2021 22:33,Squarespace,0,0,original,7.06838E+17,823,107,"Brooklyn, NY"
1.46516E+18,https://twitter.com/ohplzlol/statuses/1465162080844238854,ohplzlol,"@WatkinJames @BaronDestructo Funny thing is, todays standards for those kinda people are movies like Dune 2021. Hyped stuff. Costing plenty $$$ but looking like B material.","@WatkinJames @BaronDestructo Funny thing is, todays standards for those kinda people are movies like Dune 2021. Hyped stuff. Costing plenty $$$ but looking like B material.",11/28/2021 22:33,Twitter Web App,1,0,reply,7.32904E+17,968,1543,
1.46516E+18,https://twitter.com/soisjsjwsus7/statuses/1465161728644161540,soisjsjwsus7,RT @RebeccaFan14: Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,Rebecca Ferguson as Lady Jessica - Dune (2021) Costumes by Jacqueline West  1/2 https://t.co/hWIIMqXa4y,11/28/2021 22:32,Twitter for iPhone,0,61,retweet,9.52531E+17,156,70,"starwars, mcu, hp, n’ more"
